date,S,V,implied volatility,delta,hedging error,PNL,PNL (with hedge)
2011-01-03,604.35,135.7,0.308731,0.776009,0,0,0
2011-01-04,602.12,135.5,0.317537,0.769148,-1.5305,0.2,-1.5342
2011-01-05,609.07,140.6,0.316018,0.780708,0.245576,-4.9,-1.29268
2011-01-06,613.5,144.25,0.31778,0.786553,-0.191465,-8.55,-1.48814
2011-01-07,616.44,145.2,0.311099,0.793864,1.36247,-9.5,-0.129589
2011-01-10,614.21,144.5,0.317537,0.788062,-1.07032,-8.8,-1.20387
2011-01-11,616.01,144.65,0.311342,0.793545,1.26851,-8.95,0.0608592
2011-01-12,616.87,143.35,0.301322,0.799612,1.98245,-7.65,2.03976
2011-01-13,616.69,143.05,0.301079,0.799736,0.15607,-7.35,2.19224
2011-01-14,624.18,147.8,0.293973,0.814585,1.24003,-12.1,3.42854
2011-01-18,639.63,162.2,0.305451,0.82965,-1.81466,-26.5,1.61019
2011-01-19,631.75,154.15,0.296585,0.824519,1.51236,-18.45,3.11862
2011-01-20,626.77,150.2,0.298042,0.817204,-0.156102,-14.5,2.95862
2011-01-21,611.83,138.65,0.301443,0.794023,-0.659033,-2.95,2.29574
2011-01-24,611.08,135.75,0.28869,0.799722,2.30448,-0.05,4.59639
2011-01-25,619.91,143.35,0.292334,0.811351,-0.538459,-7.65,4.0542
2011-01-26,616.5,141.1,0.295856,0.804714,-0.516708,-5.4,3.53368
2011-01-27,616.79,140.45,0.291726,0.807441,0.883367,-4.75,4.41356
2011-01-28,600.99,128.2,0.294277,0.781355,-0.507561,7.5,3.90263
2011-01-31,600.36,126.3,0.286564,0.784599,1.40775,9.4,5.3069
2011-02-01,611.04,135.1,0.288811,0.801234,-0.420486,0.6,4.88278
2011-02-02,612,135.35,0.286139,0.804594,0.519185,0.35,5.39808
2011-02-03,610.15,134.5,0.290269,0.799834,-0.638498,1.2,4.75553
2011-02-04,610.98,134.3,0.28535,0.804312,0.863863,1.4,5.6151
2011-02-07,614.295,137.25,0.287597,0.80857,-0.283706,-1.55,5.32707
2011-02-08,618.38,139.5,0.281645,0.818571,1.05301,-3.8,6.37573
2011-02-09,616.5,137.5,0.279641,0.817098,0.461087,-1.8,6.83252
2011-02-10,616.44,137.05,0.277758,0.818457,0.400974,-1.35,7.22922
